Longitude	 Latitude	 Total	 Males	 Females
200	100	234	122	112
400	300	454	226	228
0	0	247	131	116
200	200	32	18	14
400	400	76	37	39
0	100	231	119	112
200	300	113	50	63
0	200	418	215	203
200	400	335	172	163
0	300	0	0	0
0	400	438	228	210
300	0	0	0	0
300	100	298	149	149
100	0	374	196	178
300	200	140	70	70
100	100	100	49	51
300	300	364	166	198
100	200	203	102	101
300	400	0	0	0
100	300	126	68	58
100	400	436	211	225
400	0	97	52	45
400	100	9	2	7
200	0	194	99	95
400	200	323	173	150
		209.68	106.2	103.48
			105.568	103.1392
