Year, Patch, Nt, Males, Females
2000,1,55,17,38
2000,2,60,28,32
2000,3,42,23,19
2000,4,48,23,25
2000,5,50,22,28
2000,6,48,19,29
2000,7,49,22,27
2000,8,64,34,30
2000,9,51,28,23
2000,10,34,22,12
2000,11,22,11,11
2000,12,69,24,45
2000,13,57,23,34
2000,14,64,32,32
2000,15,62,33,29
2000,16,57,30,27
2000,17,41,18,23
2000,18,58,33,25
2000,19,55,21,34
2000,20,47,19,28
2000,21,37,20,17
2000,22,61,38,23
2000,23,55,23,32
2000,24,49,34,15
2000,25,45,24,21
2001,1,67,40,27
2001,2,62,30,32
2001,3,36,15,21
2001,4,46,21,25
2001,5,46,20,26
2001,6,50,20,30
2001,7,51,24,27
2001,8,50,29,21
2001,9,33,16,17
2001,10,31,19,12
2001,11,31,13,18
2001,12,58,21,37
2001,13,47,23,24
2001,14,47,25,22
2001,15,49,23,26
2001,16,47,25,22
2001,17,38,11,27
2001,18,47,29,18
2001,19,68,34,34
2001,20,63,30,33
2001,21,32,20,12
2001,22,54,21,33
2001,23,50,30,20
2001,24,21,14,7
2001,25,29,13,16
2002,1,33,18,15
2002,2,52,29,23
2002,3,57,30,27
2002,4,45,27,18
2002,5,45,18,27
2002,6,44,18,26
2002,7,40,14,26
2002,8,55,27,28
2002,9,37,23,14
2002,10,23,15,8
2002,11,42,23,19
2002,12,49,19,30
2002,13,38,17,21
2002,14,50,28,22
2002,15,41,15,26
2002,16,50,30,20
2002,17,59,30,29
2002,18,31,17,14
2002,19,53,31,22
2002,20,52,25,27
2002,21,25,17,8
2002,22,48,33,15
2002,23,39,18,21
2002,24,20,14,6
2002,25,33,20,13
2003,1,31,11,20
2003,2,46,22,24
2003,3,35,17,18
2003,4,49,28,21
2003,5,30,9,21
2003,6,47,22,25
2003,7,57,33,24
2003,8,67,36,31
2003,9,27,15,12
2003,10,25,16,9
2003,11,44,24,20
2003,12,47,21,26
2003,13,34,17,17
2003,14,38,20,18
2003,15,54,28,26
2003,16,40,30,10
2003,17,61,34,27
2003,18,22,14,8
2003,19,49,29,20
2003,20,39,19,20
2003,21,16,8,8
2003,22,22,10,12
2003,23,38,19,19
2003,24,18,11,7
2003,25,39,16,23
2004,1,45,17,28
2004,2,42,19,23
2004,3,18,12,6
2004,4,37,13,24
2004,5,39,12,27
2004,6,43,24,19
2004,7,38,17,21
2004,8,51,27,24
2004,9,25,12,13
2004,10,21,10,11
2004,11,48,23,25
2004,12,34,15,19
2004,13,35,17,18
2004,14,37,23,14
2004,15,36,20,16
2004,16,30,14,16
2004,17,45,18,27
2004,18,17,10,7
2004,19,46,26,20
2004,20,34,17,17
2004,21,21,14,7
2004,22,42,22,20
2004,23,38,21,17
2004,24,18,10,8
2004,25,50,22,28
2005,1,53,30,23
2005,2,38,20,18
2005,3,17,4,13
2005,4,50,30,20
2005,5,66,28,38
2005,6,36,16,20
2005,7,41,17,24
2005,8,48,28,20
2005,9,31,17,14
2005,10,28,12,16
2005,11,49,24,25
2005,12,19,4,15
2005,13,28,10,18
2005,14,25,21,4
2005,15,31,18,13
2005,16,45,26,19
2005,17,53,23,30
2005,18,23,10,13
2005,19,31,16,15
2005,20,31,16,15
2005,21,23,8,15
2005,22,29,20,9
2005,23,31,11,20
2005,24,17,8,9
2005,25,50,30,20
2006,1,32,10,22
2006,2,26,11,15
2006,3,31,13,18
2006,4,33,18,15
2006,5,36,8,28
2006,6,37,18,19
2006,7,39,21,18
2006,8,39,24,15
2006,9,34,16,18
2006,10,41,24,17
2006,11,48,28,20
2006,12,23,6,17
2006,13,33,15,18
2006,14,22,17,5
2006,15,24,12,12
2006,16,43,29,14
2006,17,54,20,34
2006,18,36,19,17
2006,19,25,21,4
2006,20,36,19,17
2006,21,32,18,14
2006,22,23,12,11
2006,23,33,14,19
2006,24,36,22,14
2006,25,42,21,21
2007,1,50,21,29
2007,2,48,17,31
2007,3,46,22,24
2007,4,35,16,19
2007,5,51,25,26
2007,6,30,12,18
2007,7,36,17,19
2007,8,34,21,13
2007,9,47,23,24
2007,10,39,23,16
2007,11,29,13,16
2007,12,29,14,15
2007,13,29,13,16
2007,14,21,13,8
2007,15,36,20,16
2007,16,30,18,12
2007,17,53,22,31
2007,18,36,23,13
2007,19,8,3,5
2007,20,41,20,21
2007,21,29,18,11
2007,22,35,23,12
2007,23,38,18,20
2007,24,35,20,15
2007,25,41,22,19
2008,1,47,23,24
2008,2,54,31,23
2008,3,37,17,20
2008,4,40,21,19
2008,5,47,20,27
2008,6,35,14,21
2008,7,30,10,20
2008,8,28,18,10
2008,9,49,28,21
2008,10,37,18,19
2008,11,49,32,17
2008,12,23,9,14
2008,13,36,10,26
2008,14,20,15,5
2008,15,27,11,16
2008,16,33,20,13
2008,17,54,24,30
2008,18,40,17,23
2008,19,16,7,9
2008,20,39,17,22
2008,21,20,11,9
2008,22,21,11,10
2008,23,29,10,19
2008,24,34,21,13
2008,25,40,25,15
2009,1,38,23,15
2009,2,37,18,19
2009,3,50,23,27
2009,4,36,22,14
2009,5,52,20,32
2009,6,47,28,19
2009,7,28,13,15
2009,8,22,11,11
2009,9,50,22,28
2009,10,42,24,18
2009,11,38,21,17
2009,12,26,6,20
2009,13,42,19,23
2009,14,18,9,9
2009,15,54,16,38
2009,16,22,13,9
2009,17,50,23,27
2009,18,65,39,26
2009,19,25,14,11
2009,20,42,18,24
2009,21,12,4,8
2009,22,34,14,20
2009,23,37,19,18
2009,24,28,10,18
2009,25,38,23,15
2010,1,19,9,10
2010,2,49,23,26
2010,3,62,29,33
2010,4,31,19,12
2010,5,51,24,27
2010,6,37,18,19
2010,7,34,15,19
2010,8,30,18,12
2010,9,55,27,28
2010,10,36,23,13
2010,11,34,19,15
2010,12,46,23,23
2010,13,32,7,25
2010,14,31,20,11
2010,15,74,40,34
2010,16,27,18,9
2010,17,42,24,18
2010,18,40,25,15
2010,19,33,18,15
2010,20,55,27,28
