Lon Lat K matrix habitat
200.00 300.00 67.9322 0.00000000 0.67932173
400.00 100.00 0.7403 0.00000000 0.00740277
0.00 400.00 23.5981 0.00000000 0.23598109
200.00 200.00 80.7067 0.00000000 0.80706716
400.00 0.00 60.5850 0.00000000 0.60585007
0.00 300.00 128.0946 0.00000000 1.28094615
200.00 100.00 127.6129 0.00000000 1.27612885
0.00 200.00 133.9093 0.00000000 1.33909297
200.00 0.00 113.8855 0.00000000 1.13885503
0.00 100.00 133.4899 0.00000000 1.33489857
0.00 0.00 86.1715 0.00000000 0.86171490
300.00 400.00 74.4012 0.00000000 0.74401219
300.00 300.00 74.3045 0.00000000 0.74304531
100.00 400.00 18.7821 0.00000000 0.18782051
300.00 200.00 20.4549 0.00000000 0.20454908
100.00 300.00 82.1585 0.00000000 0.82158484
300.00 100.00 36.4481 0.00000000 0.36448069
100.00 200.00 78.3991 0.00000000 0.78399097
300.00 0.00 68.7747 0.00000000 0.68774743
100.00 100.00 112.7440 0.00000000 1.12744029
100.00 0.00 134.7364 0.00000000 1.34736361
400.00 400.00 36.5396 0.00000000 0.36539636
400.00 300.00 9.5800 0.00000000 0.09580048
200.00 400.00 74.6879 0.00000000 0.74687948
400.00 200.00 13.6409 0.00000000 0.13640938
