Year,Id,Stage,Age,Sex,CurrentX,CurrentY,CurrentPatch
2000,1,adult,2,male,259403.059213,275346.720403,30
2000,2,juvenile,2,female,259511.732040,275472.707176,30
2000,3,adult,2,male,259427.595204,275201.755509,30
2000,4,adult,2,female,259735.529661,275435.586575,30
2000,7,adult,2,male,259272.103006,275241.168540,30
2000,8,adult,2,female,259153.474707,274487.463288,30
2000,9,adult,2,male,259081.603788,275205.386695,30
2000,11,adult,2,male,259723.320230,275533.948092,30
2000,12,adult,2,male,259644.230502,275576.966073,30
2000,13,adult,2,male,259655.926985,275495.359062,30
2000,14,adult,2,female,258923.252871,275109.170772,30
2000,18,adult,2,female,259496.342322,275465.726934,30
2000,19,adult,2,male,259432.208324,275316.235950,30
2000,20,adult,2,female,259827.609164,275608.524163,30
2000,24,adult,2,female,259498.366379,275404.725784,30
2000,25,juvenile,2,male,259590.136889,275356.919529,30
2000,26,juvenile,2,female,259663.586943,275579.751752,30
2000,28,adult,2,female,259648.225939,275482.927208,30
2000,29,juvenile,2,female,259664.644402,275425.454693,30
2000,30,adult,2,male,259138.094317,274891.142413,30
2000,31,adult,2,female,259914.470536,275682.826034,30
2000,32,adult,2,male,259916.286808,275796.404087,30
2000,38,adult,2,male,259225.431690,275238.719355,30
2000,41,juvenile,2,female,259131.213336,274989.898268,30
2000,42,adult,2,male,259133.159379,274970.392046,30
2000,43,juvenile,2,female,259165.749202,274988.196445,30
2000,44,juvenile,2,male,259519.600943,275364.222311,30
2000,46,adult,2,male,259929.675811,275702.946693,30
2000,48,adult,2,male,259585.707538,275440.283554,30
2000,50,adult,2,female,259136.499047,274479.561217,30
2000,51,adult,2,female,259092.333744,274980.362935,30
2000,54,adult,2,female,259687.614147,275535.148967,30
2000,55,juvenile,2,female,259726.219626,275403.096047,30
2000,56,adult,2,female,259596.502421,275530.942917,30
2000,59,adult,2,male,259155.411059,274524.024812,30
2000,60,adult,2,female,259734.706945,275382.969733,30
2000,61,adult,2,female,259146.942908,275202.553464,30
2000,63,juvenile,2,male,259903.028834,275764.699776,30
2000,68,adult,2,male,259132.352458,274469.234941,30
2000,69,adult,2,male,258943.942580,275117.311757,30
2000,71,adult,2,male,259689.490657,275521.440023,30
2000,73,juvenile,2,male,259124.008921,275002.445848,30
2000,78,adult,2,female,259711.439867,275613.584590,30
2000,80,adult,2,female,259928.460185,275729.810927,30
2000,82,adult,2,male,259372.623181,275278.244415,30
2000,83,adult,2,male,259521.389512,275369.641626,30
2000,84,adult,2,female,259744.347013,275454.872212,30
2000,86,juvenile,2,male,259303.884992,275296.119332,30
2000,87,adult,2,male,259690.201642,275405.353317,30
2000,89,juvenile,2,female,259781.094590,275531.681455,30
2000,94,adult,2,male,259625.858001,275534.370980,30
2000,97,adult,3,male,259815.115342,275562.793466,30
2000,98,adult,3,male,259388.173971,275295.546774,30
2000,99,adult,3,female,259644.336666,275625.051789,30
2000,100,adult,3,female,259618.372901,275621.490658,30
2000,101,adult,3,male,259583.142588,275376.082430,30
2000,102,adult,3,female,259847.359789,275251.775813,30
2000,103,adult,3,male,259108.074184,274890.473339,30
2000,105,adult,3,male,259106.834305,274913.096325,30
2000,106,adult,3,female,259788.743237,275275.769312,30
2000,107,adult,3,female,259199.827997,274588.334175,30
2000,108,adult,3,female,259149.536756,275220.055454,30
2000,109,adult,3,male,259486.154086,275269.951004,30
2000,110,adult,3,female,259082.713949,275197.837113,30
2000,111,adult,3,female,259742.730261,275511.644642,30
2000,112,adult,3,female,259529.174157,275296.219142,30
2000,113,adult,3,male,259858.420251,275688.103825,30
2000,114,adult,3,female,259166.967855,275232.344106,30
2000,115,adult,3,female,259424.597429,275280.052339,30
2000,116,adult,3,male,259779.810649,275337.650937,30
2000,117,adult,3,male,259600.189258,275436.082460,30
2000,118,adult,3,male,259965.123990,275718.727289,30
2000,119,adult,3,female,259544.322117,275385.170720,30
2000,120,adult,3,female,259920.550863,275723.585622,30
