Year, Patch, Nt, Males, Females
2000,1,0,0,0
2000,2,0,0,0
2000,3,0,0,0
2000,4,0,0,0
2000,5,0,0,0
2000,6,0,0,0
2000,7,0,0,0
2000,8,0,0,0
2000,9,0,0,0
2000,10,0,0,0
2000,11,0,0,0
2000,12,0,0,0
2000,13,0,0,0
2000,14,0,0,0
2000,15,0,0,0
2000,16,0,0,0
2000,17,0,0,0
2000,18,0,0,0
2000,19,0,0,0
2000,20,0,0,0
2000,21,0,0,0
2000,22,0,0,0
2000,23,0,0,0
2000,24,0,0,0
2000,25,0,0,0
2000,26,0,0,0
2000,27,0,0,0
2000,28,0,0,0
2000,29,0,0,0
2000,30,193,95,98
2000,31,0,0,0
2000,32,0,0,0
2000,33,0,0,0
2000,34,0,0,0
2000,35,0,0,0
2000,36,0,0,0
2000,37,0,0,0
2000,38,0,0,0
2000,39,0,0,0
2000,40,0,0,0
2000,41,0,0,0
2000,42,0,0,0
2000,43,0,0,0
2000,44,0,0,0
2000,45,0,0,0
2000,46,0,0,0
2000,47,0,0,0
2000,48,0,0,0
2000,49,0,0,0
2000,50,0,0,0
2001,1,0,0,0
2001,2,0,0,0
2001,3,0,0,0
2001,4,0,0,0
2001,5,0,0,0
2001,6,0,0,0
2001,7,0,0,0
2001,8,0,0,0
2001,9,0,0,0
2001,10,0,0,0
2001,11,0,0,0
2001,12,0,0,0
2001,13,0,0,0
2001,14,0,0,0
2001,15,0,0,0
2001,16,0,0,0
2001,17,0,0,0
2001,18,0,0,0
2001,19,0,0,0
2001,20,0,0,0
2001,21,0,0,0
2001,22,0,0,0
2001,23,0,0,0
2001,24,0,0,0
2001,25,0,0,0
2001,26,0,0,0
2001,27,0,0,0
2001,28,0,0,0
2001,29,0,0,0
2001,30,198,98,100
2001,31,0,0,0
2001,32,0,0,0
2001,33,0,0,0
2001,34,0,0,0
2001,35,0,0,0
2001,36,0,0,0
2001,37,0,0,0
2001,38,0,0,0
2001,39,0,0,0
2001,40,0,0,0
2001,41,0,0,0
2001,42,0,0,0
2001,43,0,0,0
2001,44,0,0,0
2001,45,0,0,0
2001,46,0,0,0
2001,47,0,0,0
2001,48,0,0,0
2001,49,0,0,0
2001,50,0,0,0
